Community Area		number	HI14	UNEMP14	NOHS14	DEP14	HOUS14	POV14	INC14	HI17	UNEMP17	NOHS17	DEP17	HOUS17	POV17	INC17	HOM14	HOM17
Grand Boulevard		38	49.6	24.3	15.7	38	2.6	32.5	22225	49.8	19.6	9.7	38.7	2	32.5	24616	8	9
Kenwood			39	34.1	14	9.7	34.7	1.6	22.2	36325	34.6	10.8	5.5	35.4	1.8	23.7	42491	1	4
Washington Park		40	66.2	29.7	21.5	45.4	5.5	44.3	13532	60.2	23.2	10	42.2	3.9	38.9	14203	4	12
Hyde Park		41	26	8.3	4.1	26.2	2	21.2	34949	25.3	6.7	2.2	26.4	1.6	23.3	41719	3	1
Woodlawn		42	50.9	22.3	16.4	37.1	3.4	34.5	17728	50.4	16.9	8.2	36.7	3.5	35.2	19117	4	14
South Shore		43	50.3	22.6	14.4	36.8	3.8	33.8	18515	51.4	18.9	7.5	37.5	3.2	36.9	20067	15	33
Chatham			44	46.6	22.6	13.1	37.6	3	26	20494	47.9	19	8	37.9	2.9	26.1	21416	14	14
Avalon Park		45	42.4	22.2	10.5	38.8	2.5	17.4	23395	47.6	17.8	9.8	40.6	1.9	23.5	22578	1	4
South Chicago		46	55.8	21.6	25.4	40.2	4.9	30.2	15748	54.9	20.3	11.6	41.1	3.4	28.9	16996	14	20
Burnside		47	53.4	16.1	21.8	39.7	6.8	27.6	14905	51.2	22.3	10.4	41.1	1.3	24.9	17678	3	1
Calumet Heights		48	39.7	21.2	10.5	42.5	1.5	10.7	27390	38.4	12.3	8.1	37.8	2	13.7	27488	1	3
Roseland		49	50.5	24.9	16.2	41.9	2.8	23.6	17146	52.6	24.3	9.6	41.8	2.2	24	19755	13	36
Pullman			50	45.4	25.7	15.4	36	1	24.8	20312	43.3	17.4	8.6	35.9	2	21.1	23659	1	1
South Deering		51	52.6	21.7	21.3	40.3	3.8	27.4	15213	58.1	22.4	14.1	43.4	3.2	27.3	16207	5	7
East Side		52	53.9	17.8	30	41.2	6.8	17.2	17019	56.7	18.1	18.1	41	5.3	18.5	17931	2	9
West Pullman		53	53.8	25.6	19	40.5	3.5	29.4	16259	54.3	25.1	10.1	41.1	3.2	23.9	18007	7	10
Riverdale		54	82.7	40.4	26.5	49.1	8	58	7478	84.2	35.6	9.3	47.6	10.5	58.8	9601	3	5
Hegewisch		55	40.2	9.4	18	40.9	3.2	16.3	24036	37	8.3	9.5	34.3	3	15.2	27546	0	1
Garfield Ridge		56	35.4	12	17.8	36.9	2.3	8.3	26893	38.7	9.4	12.4	37.5	3.6	6.3	28925	1	5
Archer Heights		57	54.4	14.3	32.2	38.5	9.8	14.6	16507	56.1	9.2	17.9	40.2	9.7	15.9	18497	0	3
Brighton Park		58	65.4	14.8	45.7	37.5	12.6	24.9	12981	66.1	10.9	24.2	37.7	12.7	23.2	15552	2	23
McKinley Park		59	50	14	31.1	35.8	5.8	21.6	17374	51.5	12	18.4	34.6	5.5	23.1	19923	1	4
Bridgeport		60	41.2	13.2	23.1	30.2	4.3	20.1	22319	41.9	8.9	15.1	30.2	4.7	18.4	25373	2	2
New City		61	69.1	24.9	37.3	38.8	11.6	31.8	12426	62.6	18.3	17.1	39.4	8.2	28	14267	15	18
West Elsdon		62	52.3	13.4	31	38.7	8.3	15.2	15921	49.2	11.8	16.2	37.7	6.4	10.7	19283	0	1
Gage Park		63	70.6	16.2	48.9	38.5	15.4	23.8	11814	65.3	13.7	22.4	39	12.1	18.5	13605	5	11
Clearning		64	35.9	10.3	16.5	37.2	2.9	9.6	24451	38.8	10.1	9.9	36.4	3.6	9.9	25722	2	1
West Lawn		65	50.9	12.9	33.5	38.1	6.8	16.2	17237	53.7	13.1	18.6	38.7	6.8	14.5	18633	1	1
Chicago Lawn		66	61.1	22.4	30.3	38.8	7.6	31.4	12673	59.2	22	17.2	37.2	5.2	27.4	14618	20	20
West Englewood		67	64.8	36.8	25.3	40.4	4.8	34.6	12073	63.3	31.6	14	41.8	3.3	30.5	14836	28	18
Englewood		68	68.9	36.8	28.5	39.5	4.1	48.3	11281	70.5	34.1	16.1	41.5	4	42.4	12777	18	29
Greater Grand Crossing	69	54.8	25.8	15.1	40.1	4.2	34.6	16324	54.3	22	9.1	37.9	3.2	35.4	16719	12	22
Ashburn			70	37.6	13	16.3	35.7	3.5	10.8	23404	40.8	13	9.6	36.9	3.3	11.3	23990	7	6
Auburn Gresham		71	53.5	28	17.9	40.7	2.8	28.4	16432	51.5	21.1	11.3	39.2	1.9	27.9	18473	14	27
Beverly			72	23.3	7.4	2.7	38	1.2	4.2	41789	24.5	6.2	2.3	39.7	0.3	5.5	44979	0	0
Washington Heights	73	42.7	23.2	11.2	38.8	1.5	17.2	19806	43.3	18.3	7.2	38.2	1.4	20.2	22275	6	17
Mount Greenwood		74	26.6	8.6	4.7	36.7	2	4.7	33893	25.6	3.1	2.8	36.4	2.4	4.6	36365	0	0
Morgan Park		75	37.2	14	11.2	39.5	1.9	14.4	25167	36.7	11.7	5.8	41.4	0.4	15.5	29636	5	4
O’Hare			76	36.7	8.9	11.7	33.6	4.7	18.1	23908	33.8	7.7	8.8	31.2	2.8	14.1	28606	1	1
Edgewater		77	28.6	9.3	9.2	24.7	4.2	17.6	35300	28.9	6.2	7.3	25.2	4.1	15.8	38748	2	2
